"filename", "language", "odin", "comment", "blank", "total"
"c:\dev\box2o\constants.odin", "odin", 1, 0, -1, 0
"c:\dev\box2o\debug_draw.odin", "odin", 36, 13, 2, 51
"c:\dev\box2o\dynamic_tree.odin", "odin", 66, 63, 38, 167
"c:\dev\box2o\event_types.odin", "odin", 42, 13, 9, 64
"c:\dev\box2o\joint_types.odin", "odin", -8, 0, -63, -71
"Total", "-", 137, 89, -15, 211
